start_x,start_y,end_x,end_y,control1_x,control1_y,control2_x,control2_y
638,338,499,485,493,397,504,629
733,375,231,753,725,510,94,766
321,524,257,498,357,518,332,362
610,102,203,554,755,269,103,717
722,604,166,351,901,414,-5,342
394,87,49,576,415,277,-106,766
675,470,779,185,501,526,627,327
85,245,253,215,-43,194,95,132
176,15,197,606,289,116,242,581
164,4,737,577,50,135,826,505
683,629,186,503,656,611,-14,376
256,796,119,783,199,689,158,842
170,573,283,100,21,394,296,62
94,451,624,341,291,553,650,232
464,84,727,285,470,26,806,326
596,170,631,576,765,294,783,377
317,478,305,137,332,472,193,322
552,100,103,478,553,16,104,575
709,218,144,229,828,214,53,198
355,133,27,400,515,68,-155,236
103,106,539,87,108,-49,464,-70
623,673,62,516,804,806,-70,381
499,708,142,78,525,592,251,143
407,730,300,158,598,750,114,120
446,54,362,295,505,87,470,236
317,558,303,458,459,534,117,386
364,536,630,472,425,573,690,436
738,220,355,271,888,347,428,275
332,739,562,297,296,840,507,449
693,4,667,468,820,-114,625,385
538,343,520,699,656,197,680,873
414,143,678,496,496,25,792,373
550,586,375,455,553,593,356,429
54,135,587,782,-78,186,678,754
337,241,225,439,183,106,227,310
79,529,476,36,15,593,671,145
718,747,88,289,900,864,99,194
287,232,545,109,108,120,402,219
504,568,748,524,350,569,816,666
437,726,711,107,474,903,751,110
755,232,546,179,889,343,542,112
150,216,302,697,206,91,386,780
289,660,48,500,463,853,130,589
674,36,218,159,807,-98,160,249
273,537,453,273,361,610,396,93
601,298,462,506,551,233,628,548
666,239,110,201,855,317,-51,143
108,16,267,519,20,-64,235,585
273,171,230,137,392,60,156,269
455,410,143,537,301,529,297,723
250,83,616,225,87,238,765,79
103,560,466,500,44,749,330,682
527,293,307,601,613,363,504,668
757,686,769,89,865,691,821,23
261,745,167,317,134,838,67,131
256,766,178,378,415,573,266,495
394,790,694,447,572,928,864,348
318,229,636,338,432,310,480,357
674,744,132,747,524,802,228,612
180,20,585,96,277,-27,445,187
224,360,286,112,102,248,105,168
390,647,56,781,423,525,-91,741
355,725,271,705,335,651,85,824
732,700,206,671,852,568,89,532
546,429,339,133,504,529,506,-64
494,468,348,787,437,403,303,977
34,788,171,646,-42,974,294,483
120,84,139,772,151,-32,221,874
484,94,122,100,671,206,270,279
23,439,576,261,65,525,772,81
438,193,477,109,493,222,665,128
122,600,741,354,136,755,697,541
129,725,201,392,42,655,72,405
491,283,440,647,386,349,500,729
75,428,718,691,105,513,538,728
683,686,421,565,562,500,539,710
171,717,274,96,-24,865,158,258
150,262,107,231,317,148,63,108
572,203,567,391,401,379,647,223
39,531,217,552,20,676,147,616
563,784,208,767,522,735,96,762
789,651,478,361,749,608,647,342
416,773,516,751,579,772,597,816
167,313,666,452,207,384,511,275
51,130,547,189,-98,87,746,353
522,679,779,636,413,602,660,497
298,34,421,705,111,-24,582,742
713,703,726,659,730,648,614,504
595,45,776,643,737,-152,700,483
512,742,242,600,364,805,144,783
86,181,724,715,252,-17,545,590
646,128,225,219,801,240,399,53
85,525,703,534,122,425,635,472
798,388,95,476,939,247,-53,413
17,229,314,596,128,351,472,550
109,272,43,364,92,329,10,254
343,653,326,588,377,453,392,514
651,235,789,93,596,247,916,82
734,785,399,292,534,710,557,453
363,235,670,648,190,44,866,787
626,209,690,700,534,19,663,614
751,491,180,542,717,543,281,506
560,104,790,292,736,-86,754,142
572,403,511,734,549,384,564,596
196,388,784,238,138,423,743,203
245,275,419,400,326,196,479,394
180,320,36,146,267,459,-93,245
699,691,230,520,764,727,87,495
671,149,556,414,516,133,659,304
41,575,296,360,-18,685,274,357
71,377,163,510,-38,185,345,638
713,286,103,688,836,215,31,750
382,95,357,272,384,188,524,409
177,692,410,74,254,683,489,126
736,446,441,615,665,332,533,588
308,579,626,756,399,746,643,628
172,423,321,369,16,469,371,262
415,534,411,542,496,546,364,389
614,325,740,471,535,462,753,314
244,713,262,632,367,777,443,566
748,687,299,670,921,718,191,475
182,253,253,89,224,199,163,131
559,392,429,797,643,386,455,737
13,572,359,267,30,422,263,393
736,534,710,280,837,689,520,108
480,724,257,391,516,532,240,346
635,121,238,20,738,75,246,157
661,388,76,722,701,488,110,548
693,66,727,474,559,239,710,317
579,594,480,558,484,608,366,554
133,759,439,498,242,747,291,567
518,580,438,279,697,723,444,114
134,590,570,392,169,652,635,589
93,769,768,178,186,619,866,180
77,102,689,501,41,-25,761,620
702,413,364,188,723,331,223,357
94,787,474,233,56,918,607,355
743,463,346,613,887,486,522,485
507,546,768,220,323,586,771,42
143,410,303,670,59,487,335,518
525,297,687,148,379,282,554,60
103,550,569,499,218,591,459,469
199,701,481,294,329,844,411,435
670,372,687,238,648,270,532,413
115,778,35,496,-33,917,-131,494
734,762,107,88,837,630,82,87
58,280,597,575,30,405,655,490
89,639,606,418,12,676,799,371
714,252,224,559,838,207,310,511
237,621,782,530,134,771,658,479
754,136,369,361,892,-60,499,227
319,775,584,332,242,613,692,469
508,698,471,172,385,787,413,-12
114,770,30,175,310,709,95,-25
249,484,24,229,301,627,197,84
10,288,184,461,-121,481,16,564
731,320,323,455,794,288,476,635
625,143,564,282,578,335,375,92
680,142,203,470,535,319,82,584
322,79,12,505,325,-100,149,393
433,92,114,169,632,257,309,133
798,245,18,131,885,100,-111,-7
312,181,793,301,338,28,909,247
133,390,297,117,212,362,183,170
625,398,757,212,596,557,921,99
315,545,710,239,429,741,643,312
315,483,752,779,488,451,700,785
667,773,11,72,720,581,47,254
418,773,189,215,524,676,235,115
778,315,153,633,696,393,79,613
491,150,745,134,412,336,700,-7
779,420,151,532,590,420,205,547
771,717,714,316,862,635,896,196
249,117,409,74,407,-32,251,42
721,146,140,29,762,113,224,10
783,546,229,451,880,643,205,364
469,508,691,160,297,445,795,157
439,143,315,627,420,76,219,587
506,92,255,319,434,46,399,342
50,302,198,414,-62,289,309,603
565,463,659,440,579,434,792,621
718,283,331,331,610,339,155,313
67,625,401,661,-94,462,307,683
95,371,280,750,132,567,277,706
119,132,207,639,-19,212,163,743
685,430,123,301,766,398,124,156
683,240,549,650,862,252,448,587
333,110,67,92,328,-53,-103,-54
239,166,394,678,223,278,428,544
629,750,106,476,449,838,21,363
769,26,137,605,892,14,253,676
328,559,284,769,506,600,242,584
321,774,579,480,186,864,717,595
312,501,796,494,392,519,972,606
284,313,527,95,370,469,651,170
219,546,84,225,65,450,-44,176
642,551,298,146,523,593,248,235
349,192,459,379,496,9,565,349
204,515,225,543,301,438,119,485
212,487,197,648,117,485,233,796
352,725,225,498,397,531,27,629
200,197,656,339,162,198,585,176
306,77,633,753,381,88,532,708
586,753,657,498,727,577,712,692
424,358,189,126,406,533,33,2
75,319,454,26,268,451,411,-168
259,512,437,423,92,514,484,523
238,597,578,19,95,653,552,-153
282,98,427,223,201,40,399,42
358,721,320,124,539,524,490,67
449,660,576,533,510,807,673,451
734,264,500,529,730,287,486,455
572,80,361,384,689,251,338,517
520,463,241,209,631,393,293,397
426,168,530,568,306,77,679,734
627,127,761,550,739,49,877,692
647,588,429,387,795,509,239,390
136,654,101,311,234,752,-21,502
99,55,323,446,259,142,424,302
699,72,506,262,597,-82,552,363
546,158,688,647,503,0,694,559
635,721,362,704,513,689,529,584
615,252,88,539,591,418,-65,454
520,207,96,197,352,366,145,336
200,100,414,674,125,223,381,805
540,531,774,627,440,516,913,492
477,168,697,354,510,2,498,239
350,203,166,294,256,148,299,373
320,437,236,433,128,324,168,413
510,394,614,445,404,464,417,451
76,450,785,422,-84,334,653,566
567,226,527,84,370,114,545,-38
690,519,356,503,621,690,523,683
327,38,150,631,521,-122,233,761
752,361,780,168,693,405,615,297
227,88,233,588,291,241,137,506
741,114,532,461,658,138,441,296
109,395,584,88,209,398,505,182
449,194,600,319,312,331,732,313
697,481,353,568,621,523,210,509
314,741,393,221,452,822,291,188
735,337,592,240,744,522,586,389
692,396,448,773,740,404,494,697
642,276,439,135,575,161,567,117
283,597,458,193,344,595,460,332
265,435,532,592,122,552,389,597
774,534,685,637,877,712,552,830
584,351,108,275,689,477,-69,140
186,612,716,167,353,569,560,291
521,352,294,101,707,218,214,-97
416,458,748,24,492,566,804,140
354,285,103,543,481,318,287,539
52,651,244,532,147,580,117,572
310,700,523,712,463,871,714,552
753,168,439,39,893,68,506,-19
103,341,322,346,131,257,375,330
640,357,296,414,643,184,464,229
26,591,336,561,-62,750,417,631
754,685,600,774,912,837,646,624
163,541,371,371,199,446,228,341
764,649,184,204,797,632,201,202
762,736,592,305,903,766,744,348
436,515,622,733,531,336,482,585
263,797,43,21,253,968,205,-68
632,101,421,526,646,133,429,705
794,243,777,444,851,439,609,469
643,314,447,649,561,288,582,839
186,465,556,50,335,333,664,49
211,345,154,241,303,466,50,231
109,782,361,405,232,678,455,350
354,698,689,146,503,656,866,187
769,590,675,372,615,599,601,209
551,116,681,302,419,116,673,382
619,40,739,485,442,179,583,358
107,95,608,98,109,152,594,69
167,509,462,487,26,340,417,453
490,743,492,405,687,724,675,359
492,756,609,419,499,843,486,493
259,64,191,442,235,176,378,597
478,712,142,3,606,673,12,151
394,310,148,245,399,317,235,126
221,345,24,614,63,395,-100,446
300,361,738,654,219,240,645,708
177,552,586,793,227,577,713,761
198,798,116,183,208,831,305,12
327,604,101,718,376,765,63,577
421,458,438,576,322,654,476,614
53,39,758,479,-57,202,625,313
20,339,492,232,-82,269,615,180
345,39,287,570,156,207,453,621
568,724,40,105,513,803,81,-92
359,749,466,385,469,881,278,464
558,0,346,343,640,85,263,240
439,459,334,84,426,495,217,163
658,388,100,199,630,446,174,61
142,786,210,542,-31,682,332,659
589,317,376,149,510,433,518,-17
281,432,29,535,153,414,-70,600
35,438,299,556,22,245,395,554
186,619,623,242,58,740,771,422
190,717,296,232,189,630,178,80
179,358,123,165,121,421,188,170
258,327,283,83,411,504,250,-52
587,786,592,667,537,616,680,813
28,595,464,52,107,728,274,122
144,25,508,535,-49,-70,562,413
68,644,344,666,252,475,150,694
63,377,246,186,-47,463,206,-2
671,363,178,494,809,315,301,354
514,109,383,161,674,69,436,172
101,780,706,308,108,588,866,121
255,577,1,90,300,434,-44,157
557,362,678,139,723,447,757,121
671,121,201,75,541,101,59,113
403,782,786,30,356,821,799,39
359,722,164,200,301,777,70,150
150,0,260,374,153,-170,284,356
458,288,327,294,479,474,176,144
345,777,381,635,361,632,508,785
6,371,721,633,184,213,789,441
677,696,364,608,599,707,445,753
365,146,370,361,508,307,312,390
615,468,404,31,704,478,436,129
392,101,307,790,273,-84,450,975
384,623,61,201,499,703,-50,183
19,605,428,219,217,424,275,272
1,352,503,558,-126,407,442,735
12,715,513,533,169,785,595,688
176,375,192,711,125,376,293,897
732,783,645,236,694,708,532,61
706,323,597,521,568,150,581,551
44,37,524,424,-143,234,345,566
360,692,399,397,372,784,384,318
681,605,107,530,701,710,-5,600
287,685,340,733,127,641,389,737
256,767,585,579,87,725,713,583
589,308,125,266,780,471,-74,188
623,45,543,505,661,222,601,473
744,506,322,618,928,703,241,644
749,415,396,192,946,286,261,159
497,440,662,260,495,291,508,225
320,23,432,45,227,121,300,-19
171,69,592,569,29,164,483,412
405,703,756,141,456,873,802,154
796,349,77,334,870,466,105,165
314,121,127,81,388,308,220,134
601,164,66,688,468,228,-95,492
774,756,123,683,685,767,207,813
206,587,126,111,364,433,86,281
685,398,188,303,833,413,230,136
42,472,795,370,137,593,733,414
196,418,191,486,86,425,297,359
406,357,494,640,255,195,584,613
197,218,555,575,223,163,650,709
647,397,217,121,674,266,398,106
195,356,784,226,89,413,975,361
596,409,183,168,791,335,118,342
361,551,271,776,226,382,172,763
67,775,450,728,173,917,620,738
393,742,623,753,381,800,673,863
426,131,174,288,616,282,339,413
711,112,525,234,857,279,468,162
388,288,525,424,449,181,638,608
673,341,654,427,582,370,668,228
320,145,726,216,276,269,694,16
637,750,238,682,721,676,328,533
171,231,277,574,66,368,260,723
166,53,631,636,254,69,812,669
30,262,250,142,107,160,387,101
326,444,344,666,409,249,339,825
534,678,362,686,592,741,200,602
317,636,84,301,446,687,-36,157
579,442,204,345,635,604,176,539
790,499,465,481,761,662,568,332
673,533,393,109,683,606,320,-9
447,441,350,704,442,526,343,875
183,685,513,328,276,638,394,498
740,254,622,412,807,71,543,528
746,770,240,306,646,846,171,277
770,508,438,503,570,527,245,694
378,68,212,61,511,60,269,104
235,746,63,750,139,751,69,824
595,594,532,611,774,630,644,580
271,194,118,374,399,216,76,207
652,305,285,555,658,304,102,688
456,577,301,556,630,471,153,398
280,496,366,618,92,506,182,725
734,35,587,267,751,104,710,412
786,723,710,267,926,720,786,321
360,695,506,52,261,671,506,105
122,212,496,489,-59,157,374,668
673,773,494,751,627,675,315,888
124,459,121,60,288,300,-24,-14
187,679,533,481,294,618,718,417
97,463,693,710,75,527,790,866
349,59,628,555,351,159,528,396
75,391,187,765,-119,358,340,882
475,95,159,632,287,279,131,556
440,593,514,547,296,507,437,429
730,522,35,477,751,685,-20,334
519,76,73,151,602,162,251,219
465,169,500,409,456,298,367,560
217,626,690,583,367,769,734,693
273,272,83,530,156,233,203,493
544,384,605,117,527,311,651,90
541,243,631,365,619,365,791,364
448,203,84,242,278,327,-72,427
734,116,662,317,560,4,743,179
303,552,313,359,153,565,200,539
406,376,327,193,506,482,508,78
3,489,236,188,-2,558,207,215
506,12,381,555,390,-178,299,595
685,450,698,773,755,309,542,695
589,28,655,151,447,33,636,286
153,708,179,167,345,663,140,45
654,205,296,229,627,305,419,352
217,15,178,754,179,-45,303,747
556,117,108,206,613,201,165,126
738,213,426,58,937,114,391,16
15,93,115,175,-140,-107,-31,322
176,471,295,55,22,454,385,-47
74,703,514,775,148,520,573,789
123,335,669,663,90,197,573,587
551,141,716,180,482,209,789,369
315,511,29,287,173,352,-75,410
686,717,727,700,840,590,829,724
118,387,275,205,8,389,81,300
706,321,457,155,572,405,405,304
562,214,162,389,381,232,6,225
473,54,340,605,625,171,500,573
242,628,227,785,103,570,27,616
278,712,599,779,345,688,406,883
466,303,694,368,501,441,510,299
593,769,609,365,739,722,709,402
768,13,616,241,808,-17,666,322
240,755,490,105,349,936,385,-8
754,606,566,204,853,518,678,23
51,609,179,500,58,778,281,414
640,396,752,440,567,541,658,377
224,627,595,573,47,603,780,600
726,256,610,530,613,333,594,520
255,46,753,794,148,-30,726,724
133,740,559,403,31,815,509,515
485,770,794,602,524,656,609,531
88,675,145,465,138,837,185,339
771,736,12,149,613,927,103,78
137,299,390,10,110,408,226,152
493,372,81,432,315,529,-64,398
498,384,620,166,394,582,723,356
501,693,669,104,607,755,793,146
273,146,150,65,341,232,228,98
562,546,688,168,715,443,664,274
402,780,447,677,459,944,408,660
790,683,788,335,714,483,755,340
326,478,437,246,503,522,489,67
170,593,467,382,247,454,328,266
87,766,770,553,-41,898,869,425
569,73,685,251,691,-24,835,243
433,325,251,717,591,243,342,867
353,113,209,161,181,284,290,193
692,455,492,427,833,461,436,248
567,798,5,37,566,641,-1,-133
185,94,584,456,173,242,673,376
719,781,660,147,556,797,560,259
604,196,213,651,669,148,404,608
131,411,270,222,-49,483,273,75
424,316,304,482,397,224,448,361
605,189,364,447,757,236,182,284
109,267,715,370,293,140,620,290
443,150,673,490,523,222,630,581
309,112,196,143,263,206,287,52
612,354,160,668,693,505,134,505
118,556,709,648,156,584,528,810
330,737,190,746,246,831,102,679
643,213,441,699,754,97,515,660
667,417,86,401,726,272,243,387
35,335,419,190,85,412,325,288
449,589,401,646,538,593,377,595
445,247,304,244,331,376,440,316
120,747,86,86,12,672,-106,121
487,261,303,475,388,439,177,293
56,420,383,763,41,538,334,790
573,203,586,642,707,194,470,641
191,462,496,705,54,502,555,742
592,45,3,656,632,111,-187,485
67,446,313,759,184,444,287,598
675,449,629,682,656,252,811,495
709,29,701,242,677,-90,519,159
80,231,130,457,121,400,244,274
46,105,458,385,-149,222,298,397
68,77,594,643,212,219,672,821
129,397,227,311,227,559,178,446
449,335,519,235,533,213,678,81
608,351,583,621,483,489,609,570
364,155,356,252,205,4,278,446
791,20,118,27,950,-111,45,-154
174,262,209,131,187,240,204,156
642,773,77,359,652,812,240,516
457,558,623,370,333,708,495,294
423,700,221,90,543,650,26,208
296,699,530,35,335,878,445,-59
256,587,148,327,362,610,72,182
270,173,555,0,298,354,531,-25
65,689,322,13,-84,883,360,-158
48,318,656,658,175,354,770,664
612,343,176,740,539,289,235,742
387,694,90,178,246,757,115,86
204,763,368,739,171,681,242,834
236,368,223,161,377,535,115,304
100,50,791,92,286,-31,736,128
285,416,631,430,257,522,517,545
278,676,115,635,265,678,145,788
471,313,605,765,541,352,474,586
192,766,394,467,41,800,309,600
792,660,142,77,836,544,235,163
384,65,372,746,468,201,499,703
144,653,291,788,15,511,479,637
480,249,517,295,474,286,337,240
487,521,753,723,495,479,922,685
494,473,654,364,488,371,751,490
476,622,404,64,590,610,472,245
623,652,784,64,534,608,707,-93
21,775,760,563,-175,818,689,571
534,626,102,529,664,567,111,350
147,76,259,737,26,74,251,723
319,788,589,689,456,931,408,862
604,547,564,636,740,687,529,629
423,591,304,443,327,629,115,455
214,262,178,422,366,349,307,281
596,300,570,574,411,341,423,698
16,691,420,482,61,873,431,531
326,54,146,282,377,117,293,430
329,602,185,747,417,435,354,840
718,563,740,214,827,465,842,349
119,689,98,242,-24,572,198,138
410,6,432,295,558,9,445,379
203,356,370,489,22,199,282,483
393,113,734,414,553,233,789,443
254,389,533,122,378,579,700,298
777,88,289,376,872,-42,364,265
105,217,0,232,30,134,25,386
8,717,226,678,183,669,42,748
655,22,465,634,815,65,401,617
394,95,677,160,368,254,737,353
108,625,83,423,4,541,7,223
638,221,238,265,550,256,379,384
208,698,671,797,239,611,665,683
533,355,139,14,353,445,286,-163
262,332,405,136,201,168,389,81
585,87,189,788,411,-66,374,736
184,519,532,97,170,544,371,-33
161,272,601,744,158,212,587,615
762,628,370,606,636,798,434,712
238,111,586,210,214,-79,441,227
557,487,673,96,463,405,597,-65
170,223,747,93,78,159,562,10
27,210,256,296,-142,225,347,304
613,691,421,778,528,703,495,923
698,259,464,340,518,266,647,347
522,32,50,353,477,29,124,338
412,463,32,491,437,345,-87,415
537,571,143,631,716,554,157,817
744,594,396,297,896,506,219,256
128,391,524,217,158,549,368,351
765,54,119,570,697,132,113,449
298,274,675,556,487,435,703,359
186,31,746,668,242,47,927,512
419,594,459,766,533,623,501,750
439,771,28,87,559,758,177,164
242,702,749,403,238,651,675,476
602,709,697,722,780,584,840,771
765,690,311,715,925,778,478,805
666,586,470,746,703,587,638,922
242,55,726,274,56,-105,647,372
767,332,421,662,872,346,414,482
570,69,383,789,477,241,324,619
54,187,586,792,198,265,419,780
406,740,412,321,383,741,306,188
532,60,45,560,361,43,75,603
608,635,239,256,674,466,161,124
538,639,329,445,732,502,245,610
469,277,254,667,289,463,269,790
52,285,58,176,112,382,159,60
111,451,799,81,207,568,671,175
708,684,269,599,595,652,438,699
642,395,675,399,698,456,755,449
331,464,266,68,265,497,264,11
489,621,767,517,354,599,602,339
109,577,612,545,-53,560,432,534
763,779,455,314,790,782,322,165
304,605,358,46,257,717,443,-122
458,486,372,526,568,677,248,529
603,152,621,592,550,69,759,439
66,54,703,499,-72,-67,681,358
454,500,152,234,304,508,210,411
31,527,361,621,-105,363,499,751
167,188,756,607,60,189,759,422
716,255,49,212,724,188,164,28
305,483,210,295,332,447,353,241
164,33,685,15,-5,35,713,-172
684,630,255,681,620,533,165,573
75,23,144,345,181,108,221,358
381,564,672,603,466,680,677,442
771,116,739,601,662,118,919,485
410,368,778,388,496,515,690,531
230,399,527,654,119,343,652,740
740,496,230,571,579,516,302,510
721,417,766,435,636,329,662,405
747,274,530,118,924,348,573,96
25,13,30,119,-28,-93,-148,254
702,448,356,80,634,392,424,186
337,455,267,242,243,643,438,214
53,693,178,741,209,633,239,835
90,207,610,88,-74,115,642,-74
187,663,242,696,-6,654,400,883
132,271,266,399,152,172,193,318
176,359,340,35,135,227,389,115
662,651,603,696,858,817,640,850
297,275,542,325,217,314,514,296
599,156,754,91,714,292,879,-45
553,770,359,636,547,582,185,692
256,703,642,339,108,599,603,318
608,193,110,154,777,64,214,143
670,384,798,237,708,458,809,226
594,731,199,656,495,537,362,693
291,796,253,718,416,719,119,853
453,59,272,501,562,114,288,385
196,591,599,100,0,622,614,189
419,179,707,20,528,342,719,90
496,185,615,216,449,44,789,115
259,708,318,117,241,854,435,-81
489,306,728,99,350,186,632,223
143,366,45,338,251,550,-121,319
789,730,522,745,762,814,578,646
590,223,220,163,759,151,169,-25
263,62,142,482,380,171,-20,459
23,178,570,477,104,163,656,536
435,747,711,352,478,718,676,224
165,526,424,358,225,508,481,248
716,739,202,285,656,599,236,477
409,337,135,679,381,282,180,835
126,440,5,703,299,391,-170,604
793,219,521,65,593,345,336,160
46,53,141,314,-15,164,12,230
22,304,747,797,-165,475,617,922
141,772,313,86,221,603,247,153
666,761,627,324,564,626,655,300
731,192,424,622,903,373,459,574
504,216,215,44,432,395,189,-84
360,140,118,759,509,-50,-42,806
769,328,17,12,623,136,-9,-102
242,55,262,229,74,-118,344,141
302,165,307,714,138,163,441,608
449,351,17,326,539,179,-162,350
460,247,276,305,321,439,376,433
478,784,654,546,353,915,696,505
664,270,303,555,783,175,426,748
480,181,776,762,371,114,951,799
189,682,644,118,347,524,649,47
630,461,218,520,756,394,367,564
616,754,377,93,626,594,378,-102
660,680,463,136,627,514,313,-64
783,422,71,763,810,333,167,640
420,328,596,321,583,293,422,515
381,43,326,280,217,115,485,104
327,719,364,217,277,640,466,395
53,668,466,632,157,856,537,745
17,490,677,338,12,366,494,362
432,463,783,763,487,595,930,862
250,209,295,441,115,118,455,299
773,404,433,224,893,582,480,239
643,80,111,328,531,36,82,225
626,249,243,705,818,278,418,581
488,709,579,413,425,564,495,362
649,695,512,105,570,683,633,18
541,595,430,81,443,715,614,255
451,337,768,347,257,143,892,499
529,520,352,28,577,351,302,18
445,114,117,26,545,160,74,213
766,647,652,680,658,638,503,872
768,323,611,307,801,353,534,126
388,349,348,71,474,415,433,125
725,203,500,732,616,360,309,902
53,458,447,305,-50,454,300,285
180,487,655,513,43,439,579,330
310,125,49,531,393,-41,165,450
640,639,787,144,671,566,796,-3
44,8,520,554,59,111,632,738
116,239,151,289,306,365,113,281
235,563,558,746,118,646,648,566
257,290,105,492,258,329,301,391
400,462,323,479,284,367,339,342
276,459,266,564,199,573,280,753
293,144,409,438,486,276,520,274
114,566,253,798,220,711,204,780
279,654,393,749,251,557,363,839
95,244,157,504,122,93,354,430
641,576,379,388,522,532,239,399
90,481,658,90,-20,285,652,-55
77,245,715,740,129,434,584,809
523,720,151,102,498,557,-44,73
653,315,530,325,473,121,386,356
675,789,424,639,790,977,235,774
167,206,73,701,105,319,112,567
613,437,455,251,661,345,370,91
682,82,733,577,558,-61,912,383
397,106,585,646,198,228,715,489
536,762,740,119,343,720,602,73
68,103,522,382,-93,299,468,453
256,600,243,470,137,435,331,335
439,343,227,388,424,507,171,571
350,94,658,409,302,-64,648,383
717,695,391,599,868,719,540,762
700,145,786,8,766,177,833,-113
410,203,267,588,494,231,213,707
304,639,388,559,292,685,329,572
465,743,310,613,442,926,118,557
770,438,546,473,931,398,691,366
309,351,280,631,217,410,120,608
519,645,760,109,410,628,859,126
465,160,8,311,610,128,188,132
27,710,546,777,126,867,560,819
87,160,403,328,-9,162,506,218
468,283,763,501,649,139,726,413
332,696,195,645,463,755,308,712
60,417,29,528,64,438,13,658
321,236,349,208,210,49,361,230
544,524,657,453,529,508,701,342
7,695,140,681,190,696,204,678
273,548,595,560,305,387,425,568
443,449,355,779,349,425,234,646
413,576,213,587,286,666,23,622
503,492,85,241,442,479,150,291
177,596,30,27,1,789,-37,146
442,474,730,508,504,405,749,518
148,478,263,259,189,311,142,63
322,307,793,163,473,411,967,274
625,217,745,773,532,62,568,780
443,185,592,238,311,272,686,131
387,691,768,693,565,574,702,635
669,720,578,40,726,678,715,128
113,676,694,537,230,656,766,415
139,324,88,722,201,463,42,849
83,109,137,713,255,275,174,805
636,31,143,591,575,226,57,689
347,507,702,576,167,505,603,701
600,273,649,465,713,397,662,617
169,559,467,748,31,690,478,891
498,690,305,438,473,726,174,539
380,302,96,777,295,467,145,771
495,251,13,208,362,218,68,11
470,651,22,505,290,766,-29,641
465,643,788,620,624,787,831,760
113,404,320,307,-24,367,255,236
389,434,105,167,328,269,-21,20
132,461,355,142,27,385,203,297
668,232,248,217,678,224,378,227
19,768,555,394,-161,925,497,377
585,153,595,392,693,120,405,201
783,621,448,442,815,611,397,289
558,569,383,351,416,709,206,445
1,342,772,468,-127,149,952,304
203,224,171,565,123,173,226,596
703,481,653,526,677,627,722,545
51,298,90,88,143,356,6,57
793,179,329,605,659,113,364,683
245,714,407,663,130,868,398,671
18,490,211,345,112,498,114,424
329,52,66,576,302,192,125,382
123,22,629,126,125,184,722,138
